"EII","VII","EEI","VEI","EVI","VVI","EEE","VEE","EVE","VVE","EEV","VEV","EVV","VVV"
-369.065034246591,-369.065034246591,-369.323418261532,-369.323418261532,-369.323418261532,-369.323418261532,-370.174575375175,-370.174575375175,-370.174575375175,-370.174575375175,-370.174575375175,-370.174575375175,-370.174575375175,-370.174575375175
-367.450447187072,-368.634486817214,-369.641437790998,-371.617210731625,-371.137085540747,-374.192338059818,-372.259024698549,-374.938075487867,-369.516753781632,-372.644531435485,-372.819712942568,-376.285030820855,-372.775687242665,-375.929704186437
-371.122321404479,-378.59178125421,-374.727001636649,-382.230099110424,-381.123542463408,-386.670022405174,-378.139258685035,-385.607304059149,-380.535827088782,-389.313434412371,-385.0018787202,-386.314595994659,-384.933677976591,-394.648765522193
-380.460013223993,-388.392223996559,-380.118630822422,-389.200289407875,-388.986650022286,-398.773816824887,-383.310190233329,-392.519179621204,-392.140760433289,-400.623690180281,-388.847383807022,-396.614440104395,-392.832997850389,-409.311590593211
-385.025806937624,-393.298530668083,-385.315045158575,-395.468722063475,-396.897295629297,-409.709907494732,-388.544440820148,-399.084397136002,-398.825087318107,-409.864311792412,-397.724887751592,-409.522406686707,-410.114915103739,-423.282007170607
-386.152012222157,-399.239921801109,-389.365993294036,-402.701518775062,-403.556777294432,-409.778410213315,-394.894269774095,-408.376998886288,-407.345112647145,-420.812882905823,-408.229249622229,-422.80884392244,-418.650493362168,-434.570385202944
-395.293979128992,-389.013450975648,-398.843965893837,-392.628324643743,-416.950726510521,-401.575317982459,-401.854035543405,NA,NA,NA,-418.819004706875,-409.498556261445,NA,NA
-404.811307823632,-402.760857409122,-408.334720122653,-406.386373482893,-421.227587506294,-417.792438657042,-410.856971177925,NA,NA,NA,-420.931285084954,-416.64066216497,NA,NA
-412.613287878677,NA,-415.134594133506,NA,-424.919474831644,-436.137736748994,-418.772445484435,NA,NA,NA,-430.336850140082,-426.99588509985,NA,NA
